Time,Distance,Engine,Lateral_acc,Longitudinal_a,GPS_Speed,GPS_LatAcc,GPS_LonAcc,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,
0.000,0.000,2599.250000,-0.866284,0.318173,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431469617,-35.195877601223,
0.010,0.000,2641.500000,-0.847027,0.282719,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431470675,-35.195877602185,
0.020,0.000,2688.500000,-0.853655,0.298997,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431471734,-35.195877603147,
0.030,0.000,2735.250000,-0.862765,0.318367,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431472792,-35.195877604108,
0.040,0.000,2781.750000,-0.882904,0.298322,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431473851,-35.195877605070,
0.050,0.000,2827.750000,-0.921724,0.267564,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431474909,-35.195877606032,
0.060,0.000,2873.250000,-0.933434,0.281973,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431475968,-35.195877606994,
0.070,0.000,2917.750000,-0.889806,0.338112,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431477026,-35.195877607956,
0.080,0.000,2961.250000,-0.858139,0.368780,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431478085,-35.195877608918,
0.090,0.000,3004.250000,-0.892509,0.336575,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431479143,-35.195877609880,
0.100,0.000,3046.750000,-0.918533,0.292532,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431480570,-35.195877611038,
0.110,0.000,3088.250000,-0.875404,0.302003,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431482242,-35.195877612329,
0.120,0.000,3128.750000,-0.852998,0.339467,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431483914,-35.195877613619,
0.130,0.000,3187.500000,-0.922688,0.329821,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431485586,-35.195877614909,
0.140,0.000,3264.500000,-1.000749,0.285936,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431487258,-35.195877616199,
0.150,0.000,3321.500000,-0.994456,0.284784,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431488931,-35.195877617489,
0.160,0.000,3358.500000,-0.896651,0.310510,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431490603,-35.195877618779,
0.170,0.000,3394.000000,-0.743988,0.295425,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431492275,-35.195877620069,
0.180,0.000,3428.000000,-0.638688,0.278849,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431493947,-35.195877621360,
0.190,0.000,3461.750000,-0.691162,0.329471,0.000000,0.000000,0.000000,54.706421,-0.022096,-5.843431495619,-35.195877622650,
