Time,Distance,Engine,Lateral_acc,Longitudinal_a,GPS_Speed,GPS_LatAcc,GPS_LonAcc,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,
0.390,0.000,2261.000000,-0.898883,0.309517,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430101296,-35.195871197187,
0.400,0.000,2261.000000,-0.916379,0.339367,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430103798,-35.195871193023,
0.410,0.000,2271.399902,-0.946482,0.401796,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430106300,-35.195871188858,
0.420,0.000,2323.399902,-0.932946,0.440668,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430108802,-35.195871184694,
0.430,0.000,2373.100098,-0.887805,0.439354,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430111304,-35.195871180530,
0.440,0.000,2413.600098,-0.863686,0.423760,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430113806,-35.195871176366,
0.450,0.000,2452.300049,-0.891469,0.413598,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430116308,-35.195871172201,
0.460,0.000,2483.800049,-0.940680,0.402636,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430118810,-35.195871168037,
0.470,0.000,2512.199951,-0.949169,0.382253,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430121312,-35.195871163873,
0.480,0.000,2528.199951,-0.909371,0.362482,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430123813,-35.195871159708,
0.490,0.000,2542.199951,-0.863432,0.363058,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430126315,-35.195871155544,
0.500,0.000,2548.199951,-0.845006,0.369505,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430128817,-35.195871151380,
0.510,0.000,2552.899902,-0.867203,0.337624,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430131829,-35.195871146705,
0.520,0.000,2552.399902,-0.910531,0.291348,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430139429,-35.195871137435,
0.530,0.000,2552.000000,-0.937816,0.314549,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430147028,-35.195871128166,
0.540,0.000,2552.000000,-0.937855,0.404407,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430154628,-35.195871118896,
0.550,0.000,2551.100098,-0.919984,0.470957,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430162228,-35.195871109627,
0.560,0.000,2546.600098,-0.898775,0.463214,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430169828,-35.195871100357,
0.570,0.000,2542.300049,-0.886373,0.396161,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430177427,-35.195871091088,
0.580,0.000,2538.800049,-0.876195,0.336260,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430185027,-35.195871081818,
0.590,0.000,2535.500000,-0.870812,0.358117,0.002000,0.000000,0.000000,76.112122,-0.022096,-5.843430192627,-35.195871072548,
0.600,0.000,2533.000000,-0.891308,0.427555,0.012000,0.000000,0.000000,76.112122,-0.022096,-5.843430200226,-35.195871063279,
0.610,0.000,2530.300049,-0.919282,0.434115,0.022000,0.000000,0.000000,76.112122,-0.022096,-5.843430207826,-35.195871054009,
0.620,0.000,2526.800049,-0.915822,0.363123,0.032000,0.000000,0.000000,76.112122,-0.022096,-5.843430215426,-35.195871044740,
0.630,0.000,2523.300049,-0.902457,0.297799,0.042000,0.000000,0.000000,76.112122,-0.022096,-5.843430223026,-35.195871035470,
0.640,0.000,2519.800049,-0.918980,0.299995,0.052000,0.000000,0.000000,76.112122,-0.022096,-5.843430230840,-35.195871023779,
0.650,0.000,2517.000000,-0.938760,0.362946,0.062000,0.000000,0.000000,76.112122,-0.022096,-5.843430238799,-35.195871010472,
0.660,0.000,2517.000000,-0.918632,0.418727,0.072000,0.000000,0.000000,76.112122,-0.022096,-5.843430246757,-35.195870997166,
0.670,0.000,2516.199951,-0.871483,0.412396,0.082000,0.000000,0.000000,76.112122,-0.022096,-5.843430254715,-35.195870983860,
0.680,0.000,2512.199951,-0.833014,0.378064,0.092000,0.000000,0.000000,76.112122,-0.022096,-5.843430262673,-35.195870970553,
0.690,0.000,2508.300049,-0.821686,0.374317,0.102000,0.000000,0.000000,76.112122,-0.022096,-5.843430270632,-35.195870957247,
0.700,0.000,2504.800049,-0.842928,0.401022,0.112000,0.000000,0.000000,76.112122,-0.022096,-5.843430278590,-35.195870943941,
0.710,0.000,2501.100098,-0.876373,0.424663,0.122000,0.000000,0.000000,76.112122,-0.022096,-5.843430286548,-35.195870930634,
0.720,0.000,2496.600098,-0.876867,0.414792,0.132000,0.000000,0.000000,76.112122,-0.022096,-5.843430294506,-35.195870917328,
0.730,0.000,2492.100098,-0.833391,0.370528,0.142000,0.000000,0.000000,76.112122,-0.022096,-5.843430302465,-35.195870904022,
0.740,0.000,2487.600098,-0.801978,0.330355,0.152000,0.000000,0.000000,76.112122,-0.022096,-5.843430310423,-35.195870890715,
0.750,0.000,2482.600098,-0.836988,0.314530,0.162000,0.000000,0.000000,76.112122,-0.022096,-5.843430318381,-35.195870877409,
0.760,0.000,2475.600098,-0.917844,0.314419,0.172000,0.000000,0.000000,76.112122,-0.022096,-5.843430331821,-35.195870865179,
0.770,0.000,2470.000000,-0.978929,0.340317,0.182000,0.000000,0.000000,76.112122,-0.022096,-5.843430394597,-35.195870862637,
0.780,0.000,2470.000000,-0.976248,0.397984,0.192000,0.000000,0.000000,76.112122,-0.022096,-5.843430457373,-35.195870860095,
0.790,0.000,2468.399902,-0.921465,0.459239,0.199500,0.000000,0.000000,76.112122,-0.022096,-5.843430520149,-35.195870857553,
0.800,0.000,2460.399902,-0.876645,0.481315,0.197000,0.000000,0.000000,76.112122,-0.022096,-5.843430582925,-35.195870855011,
0.810,0.000,2452.399902,-0.882829,0.433415,0.194500,0.000000,0.000000,76.112122,-0.022096,-5.843430645701,-35.195870852470,
0.820,0.000,2444.399902,-0.910705,0.351791,0.192000,0.000000,0.000000,76.112122,-0.022096,-5.843430708476,-35.195870849928,
0.830,0.000,2436.399902,-0.922288,0.325336,0.189500,0.000000,0.000000,76.112122,-0.022096,-5.843430794663,-35.195870859762,
0.840,0.000,2428.399902,-0.919456,0.371128,0.187000,0.000000,0.000000,76.112122,-0.022096,-5.843430890882,-35.195870874899,
0.850,0.000,2420.300049,-0.910158,0.412979,0.184500,0.000000,0.000000,76.112122,-0.022096,-5.843430987101,-35.195870890037,
0.860,0.000,2411.800049,-0.890566,0.389180,0.182000,0.000000,0.000000,76.112122,-0.022096,-5.843431083320,-35.195870905175,
0.870,0.000,2405.000000,-0.865190,0.318499,0.179500,0.000000,0.000000,76.112122,-0.022096,-5.843431179539,-35.195870920312,
0.880,0.000,2405.000000,-0.854834,0.286992,0.177000,0.000000,0.000000,76.112122,-0.022096,-5.843431275759,-35.195870935450,
0.890,0.000,2403.399902,-0.874249,0.351233,0.174500,0.000000,0.000000,76.112122,-0.022096,-5.843431361079,-35.195870949241,
0.900,0.000,2395.399902,-0.905245,0.449524,0.172000,0.000000,0.000000,76.112122,-0.022096,-5.843431402806,-35.195870957645,
0.910,0.000,2387.399902,-0.916053,0.484698,0.169500,0.000000,0.000000,76.112122,-0.022096,-5.843431444532,-35.195870966048,
0.920,0.000,2379.399902,-0.894069,0.446438,0.167000,0.000000,0.000000,76.112122,-0.022096,-5.843431486258,-35.195870974452,
0.930,0.000,2371.500000,-0.846493,0.385796,0.164500,0.000000,0.000000,76.112122,-0.022096,-5.843431527984,-35.195870982855,
0.940,0.000,2364.000000,-0.813007,0.337533,0.162000,0.000000,0.000000,76.112122,-0.022096,-5.843431569711,-35.195870991259,
0.950,0.000,2358.000000,-0.847517,0.301806,0.159500,0.000000,0.000000,76.112122,-0.022096,-5.843431611437,-35.195870999662,
0.960,0.000,2358.000000,-0.938105,0.283882,0.157000,0.000000,0.000000,76.112122,-0.022096,-5.843431653163,-35.195871008066,
0.970,0.000,2356.899902,-1.007799,0.316084,0.154500,0.000000,0.000000,76.112122,-0.022096,-5.843431694889,-35.195871016469,
0.980,0.000,2351.399902,-1.003925,0.400844,0.152000,0.000000,0.000000,76.112122,-0.022096,-5.843431736616,-35.195871024873,
